Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-69-0019,Ferosagitta hispida,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Ferosagitta,,hispida,,,Conant,epiplanktonic; neritic; bay and nearshore,Tropical-subtropical Atlantic,0,685,A1; A2; A3; A4; B1; B2; B3; B4; C1; C2; C3; C4; D1; D2; D3; D4; E1; E2; E3; E4; F1; F2; F3; F4; G1; G2; G3; G4; H1; H2; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 30, 33, 35, 37, 40–42, 44, 48, 50, 56, 58",,Conant,1895,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0019
Spp-69-0020,Flaccisagitta enflata,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Flaccisagitta,,enflata,,,Grassi,epiplanktonic; oceanic surface and epipelagic; neritic (semi),Tropical-subtropical-temperate seas,0,200,A1; A2; A3; B1; B2; B3; C1; C2; C3; D1; D2; D3; E1; E2; E3; F1; F2; F3; G1; G2; G3; H1; H2; H3,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","30, 33, 35, 37, 40–44, 48–50, 56, 58",,Grassi,1881,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0020
Spp-69-0021,Flaccisagitta hexaptera,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Flaccisagitta,,hexaptera,,,dOrbigny,epiplanktonic-mesoplanktonic; hypersaline specialist,Tropical-subtropical-temperate seas,100,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","33, 35, 37–44, 46, 47, 49, 58",,dOrbigny,1843,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0021
Spp-69-0022,Flaccisagitta lyra,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Flaccisagitta,,lyra,,,Krohn,epiplanktonic-mesoplanktonic,Tropical-subtropical-temperate seas,100,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 35, 37–39, 40–42, 44, 46, 47, 49, 50",,Krohn,1853,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0022
Spp-69-0023,Mesosagitta decipiens,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Mesosagitta,,decipiens,,,Fowler,epiplanktonic-mesoplanktonic,Tropical-subtropical-temperate seas,200,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 16, 33, 35, 37–39, 40–42, 44, 47",,Fowler,1905,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0023
Spp-69-0024,Mesosagitta minima,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Mesosagitta,,minima,,,Grassi,epiplanktonic-mesoplanktonic; neritic (semi); outer continental shelf,Tropical-subtropical-temperate seas,200,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","33, 35, 37,3 8, 40–44, 50",,Grassi,1881,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0024
Spp-69-0025,Mesosagitta sibogae,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Mesosagitta,,sibogae,,,Fowler,mesoplanktonic; deep sea,Tropical-subtropical-temperate seas,200,677,A3; A4; B3; B4; E3; E4; F3; F4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","37, 38, 41, 42",6,Fowler,1906,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0025
Spp-69-0026,Parasagitta friderici,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Parasagitta,,friderici,,,Ritter-Záhony,epiplanktonic; neritic; coastal surface and epipelagic; euryhaline,"East Pacific and Atlantic, including Mediterranean and Gulf Mexico",0,200,A1; A2; A3; B1; B2; B3; C1; C2; C3; D1; D2; D3; E1; E2; E3; F1; F2; F3,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","32, 34, 35, 37, 41",,Ritter-Záhony,1911,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0026
Spp-69-0027,Parasagitta megalophthalma,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Parasagitta,,megalophthalma,,,Dallot and Ducret,mesoplanktonic; deep sea,"Mediterranean Sea, Tyrrhenian Sea, Gulf Guinea, Caribbean Sea",100,800,A3; A4; B3; B4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","37, 38, 43",7,Dallot & Ducret,1969,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0027
Spp-69-0028,Parasagitta tenuis,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Parasagitta,,tenuis,,,Conant,epiplanktonic; euryhaline; neritic; coastal surface and epipelagic,Tropical-subtropical-temperate seas,0,200,A1; A2; A3; B1; B2; B3; C1; C2; C3; D1; D2; D3; E1; E2; E3; F1; F2; F3; G1; G2; G3; H1; H2; H3,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 30, 33-35, 37, 40–42, 44, 48, 50, 56, 58",,Conant,1896,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0028
Spp-69-0029,Sagitta bipunctata,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Sagitta,,bipunctata,,,Quoy and Gaimard,epiplanktonic-mesoplanktonic; hypersaline specialist,Tropical-subtropical-temperate seas,200,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","33, 35, 37, 38, 40–44, 46, 49, 50, 58",,Quoy & Gaimard,1828,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0029
Spp-69-0030,Sagitta helenae,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Sagitta,,helenae,,,Ritter-Záhony,epiplanktonic; hypersaline specialist; neritic; outer continental shelf,Tropical-subtropical Atlantic,0,350,A1; A2; A3; A4; B1; B2; B3; B4; C1; C2; C3; C4; D1; D2; D3; D4; E1; E2; E3; E4; F1; F2; F3; F4; G1; G2; G3; G4; H1; H2; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 30, 33, 35, 37, 44, 48, 50, 56",,Ritter-Záhony,1911,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0030
Spp-69-0031,Serratosagitta serratodentata,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Serratosagitta,,serratodentata,,,Krohn,epiplanktonic; oceanic surface and epipelagic; hypersaline specialist; euryhaline,Tropical-subtropical Atlantic and adjacent seas,200,677,A3; A4; B3; B4; C3; C4; D3; D4; E3; E4; F3; F4; G3; G4; H3; H4,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 33, 35, 37-44, 47, 49, 50, 58",,Krohn,1853,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0031
Spp-69-0032,Solidosagitta planctonis,Animalia,Chaetognatha,,Sagitoidea,,,,Aphragmophora,,,,,,,Sagittiidae,,,,Solidosagitta,,planctonis,,,Steinhaus,mesoplanktonic-batiplanktonic,"Tropical-temperate seas, 60°N-40°S Atlantic, Pacific and Indian oceans",687,1300,A4; A5; B4; B5; C4; C5; D4; D5,"Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales. 2009. Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","37, 38, 44",8,Steinhaus,1896,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-69-0032
