Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-22-0052,Prosthiostomum lobatum,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Prosthiostomidae,,,,Prosthiostomum,,lobatum,,,"Pearse,",benthic; beach and shoreline,"Florida, North Carolina",0,3,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 7, 17",,Pearse,1938,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0052
Spp-22-0054,Acanthozoon maculosus,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Pseudocerotidae,,,,Acanthozoon,,maculosus,,,"Pearse,",benthic,"Northwest Atlantic, Caribbean",,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 6, 7, 8, 17",,Pearse,1938,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0054
Spp-22-0055,Pseudoceros (?) texanus,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Pseudocerotidae,,,,Pseudoceros,,(?) texanus,,,"Hyman,",bay and nearshore; epibiotic,"Port Aransas, Texas",0,2,G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","8, 10",,Hyman,1955,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0055
Spp-22-0056,Thysanozoon cf. brocchi,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Pseudocerotidae,,,,Thysanozoon,,cf. brocchi,,,"Risso,",benthic; beach and shoreline,"Northwest/Southwest Atlantic, Mediterranean",0,2,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","4, 6, 7, 10, 17",,Risso,1818,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0056
Spp-22-0057,Thysanozoon nigrum,Animalia,Platyhelminthes,,Rhabditophora,,,,Polycladida,Cotylea,,,,,,Pseudocerotidae,,,,Thysanozoon,,nigrum,,,"Girard,",benthic; beach and shoreline,"Texas, Florida, Bermuda, Bahamas",0,2,A1; B1; G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","3, 4, 6, 8, 9, 10",,Girard,1852,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0057
Spp-22-0061,Paravortex gemellipara,Animalia,Platyhelminthes,,Rhabditophora,,,,Rhabdocoela,Dalyellioida,,,,,,Graffillidae,,,,Paravortex,,gemellipara,,,"Linton,",beach and shoreline; estuarine; symbiotic,Northwest Atlantic,0,3,G1; H1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","20, 21",,Linton,1910,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0061
Spp-22-0064,Prognathorhynchus busheki,Animalia,Platyhelminthes,,Rhabditophora,,,,Rhabdocoela,Kalyptorhynchia,,,,,,Gnathorhynchidae,,,,Prognathorhynchus,,busheki,,,"Ax,",benthic; beach and shoreline; interstitial,Northwest Atlantic,0,2,A1; B1,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",2,,Ax,1997,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0064
Spp-22-0067,Urastoma cyprinae,Animalia,Platyhelminthes,,Rhabditophora,,,,Revertospermata,,,,,,,Urastomidae,,,,Urastoma,,cyprinae,,,"Graff,",bay and nearshore; symbiotic,"Northwest/Northeast/Southwest Atlantic, Mediterranean, Black Sea, Southwest/Northeast Pacific",0,20,E1; E2; F1; F2,"Hooge, M. D. and L. J. Newman. 2009. Turbellarians (Acoelomorpha and Free-Living Platyhelminthes) of the Gulf of Mexico, Pp. 413–418 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",16,,Graff,1882,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-22-0067
Spp-23-0005,Cotylogaster basiri,Animalia,Platyhelminthes,,Trematoda,Aspidogastrea,,,,,,,,,,Aspidogastridae,,,,Cotylogaster,,basiri,,,Siddiqi and Cable,parasitic,"Gulf of Mexico, Caribbean Sea",,,A1; A1; A2; A2; A3; A3; A4; A4; A5; A5; A6; A6; G1; G2; G3; G4; G5; G6; H1; H2; H3; H4; H5; H6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","143, 144, 301",1,Siddiqi & Cable,1960,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0005
Spp-23-0006,Cotylogaster dinosoides,Animalia,Platyhelminthes,,Trematoda,Aspidogastrea,,,,,,,,,,Aspidogastridae,,,,Cotylogaster,,dinosoides,,,Hendrix and Overstreet,parasitic; endemic to Gulf of Mexico,known from the Gulf of Mexico only,,,A1; A1; A2; A2; A3; A3; A4; A4; A5; A5; A6; A6; G1; G2; G3; G4; G5; G6; H1; H2; H3; H4; H5; H6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","143, 144, 301",2,Hendrix & Overstreet,1977,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0006
Spp-23-0007,Lobatostoma kemostoma,Animalia,Platyhelminthes,,Trematoda,Aspidogastrea,,,,,,,,,,Aspidogastridae,,,,Lobatostoma,,kemostoma,,,MacCallum and MacCallum,parasitic,"Gulf of Mexico, Caribbean Sea, Atlantic coast of South America, eastern Pacific Ocean",,,A1; A2; A3; A4; A5; A6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","178, 285",,MacCallum & MacCallum,1913,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0007
Spp-23-0008,Lobatostoma ringens,Animalia,Platyhelminthes,,Trematoda,Aspidogastrea,,,,,,,,,,Aspidogastridae,,,,Lobatostoma,,ringens,,,Linton,parasitic,"Gulf of Mexico, southeastern United States and the Bahamas, Bermuda, Caribbean Sea, Atlantic coast of South America",,,A1; A1; A1; A1; A2; A2; A2; A2; A3; A3; A3; A3; A4; A4; A4; A4; A5; A5; A5; A5; A6; A6; A6; A6; B1; B2; B3; B4; B5; B6; C1; C2; C3; C4; C5; C6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","43, 52, 87, 143, 208, 285",3,Linton,1907,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0008
Spp-23-0010,Multicalyx cristata,Animalia,Platyhelminthes,,Trematoda,Aspidogastrea,,,,,,,,,,Multicalycidae,,,,Multicalyx,,cristata,,,Faust and Tang,parasitic,"Gulf of Mexico, northeastern United States and Atlantic Canada, eastern Atlantic Ocean, Atlantic coast of South America, eastern Pacific Ocean",,,A1; A2; A3; A4; A5; A6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","112, 143",4,Faust & Tang,1936,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0010
Spp-23-0013,Manteria brachyderus,Animalia,Platyhelminthes,,Trematoda,Digenea,,,,,,,,,,Acanthocolpidae,,,,Manteria,,brachyderus,,,Manter,parasitic,"Gulf of Mexico, Caribbean Sea, Atlantic coast of South America, eastern Pacific Ocean",,,A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; C1; C2; C3; C4; C5; C6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","2, 24, 50, 151, 154, 235, 267, 308",,Manter,1940,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0013
Spp-23-0014,Pleorchis americanus,Animalia,Platyhelminthes,,Trematoda,Digenea,,,,,,,,,,Acanthocolpidae,,,,Pleorchis,,americanus,,,Lühe,parasitic,"Gulf of Mexico, northeastern United States and Atlantic Canada, Atlantic coast of South America, eastern Pacific Ocean",,,A1; A1; A1; A2; A2; A2; A3; A3; A3; A4; A4; A4; A5; A5; A5; A6; A6; A6; B1; B2; B3; B4; B5; B6; C1; C2; C3; C4; C5; C6,"Overstreet, R. M., J. O. Cook, and R. W. Heard. 2009. Trematoda (Platyhelminthes) of the Gulf of Mexico, Pp. 419–486 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","17, 151, 154, 186, 224, 225, 246, 310, 316",,Lühe,1906,"Added keyword ""parasitic""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-23-0014
