Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-61-0021,Halalaimus longisetosus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,longisetosus,,,"Hopper,",nd,coastal North Carolina to Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",24,,Hopper,1963,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0021
Spp-61-0022,Halalaimus pachydermatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,pachydermatus,,,"Cobb,",submergent vegetation; sand and mud,"coastal Massachusetts, Gulf of Mexico",,,C1; C2; C3,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",13,,Cobb,1920,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0022
Spp-61-0023,Halalaimus paracomatus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,paracomatus,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0023
Spp-61-0024,Halalaimus parafletcheri,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,parafletcheri,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0024
Spp-61-0025,Halalaimus tarjani,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,tarjani,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0025
Spp-61-0026,Halalaimus thalassinus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,thalassinus,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0026
Spp-61-0027,Halalaimus variabilis,Animalia,Nematoda,,Enoplea,,,,Enoplida,Enoplina,,,,Leptosomatoidea,,Oxystominidae,Halalaiminae,,,Halalaimus,,variabilis,,,"Keppner,",sediments; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",43,,Keppner,1992,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0027
Spp-61-0028,Ironella prismatolaima,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Ironella,,prismatolaima,,,"Cobb,",sediments; reduced sediment,"western North Atlantic, Gulf of Mexico",0,2,A1; B1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",37,,Cobb,1920,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0028
Spp-61-0029,Syringolaimus smarigdus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Syringolaimus,,smarigdus,,,"Cobb,",submergent vegetation; sand,"western North Atlantic, Gulf of Mexico",0,5,G1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Cobb,1928,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0029
Spp-61-0030,Thalassironus americanus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Thalassironus,,americanus,,,"Keppner,",sand; oyster reefganic matter; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",33,,Keppner,1986,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0030
