V1,V2,V3
-123.6,51.4,1539
-123.533333333333,51.4,1603
-123.466666666667,51.4,1653
-123.4,51.4,1676
-123.333333333333,51.4,1714
-123.266666666667,51.4,1654
-123.2,51.4,1608
-123.133333333333,51.4,1717
-123.066666666667,51.4,1628
-123,51.4,1580
-122.933333333333,51.4,1757
-122.866666666667,51.4,1689
-122.8,51.4,1687
-122.733333333333,51.4,1503
-122.666666666667,51.4,1294
-122.6,51.4,1489
-122.533333333333,51.4,1769
-122.466666666667,51.4,1567
-122.4,51.4,1256
-122.333333333333,51.4,1082
-122.266666666667,51.4,687
-122.2,51.4,1033
-122.133333333333,51.4,1228
-122.066666666667,51.4,1199
-122,51.4,1075
-121.933333333333,51.4,1092
-121.866666666667,51.4,1065
-121.8,51.4,1126
-121.733333333333,51.4,1099
-121.666666666667,51.4,1144
-121.6,51.4,1130
-121.533333333333,51.4,1123
-129.466666666667,51.3333333333333,-249
-129.4,51.3333333333333,-263
-129.333333333333,51.3333333333333,-278
-129.266666666667,51.3333333333333,-268
-129.2,51.3333333333333,-259
-129.133333333333,51.3333333333333,-263
-129.066666666667,51.3333333333333,-252
-129,51.3333333333333,-240
-128.933333333333,51.3333333333333,-228
-128.866666666667,51.3333333333333,-214
-128.8,51.3333333333333,-200
-128.733333333333,51.3333333333333,-190
-128.666666666667,51.3333333333333,-174
-128.6,51.3333333333333,-157
-128.533333333333,51.3333333333333,-133
-128.466666666667,51.3333333333333,-126
-128.4,51.3333333333333,-98
-128.333333333333,51.3333333333333,-61
-128.266666666667,51.3333333333333,-37
-128.2,51.3333333333333,-48
-128.133333333333,51.3333333333333,-62
-128.066666666667,51.3333333333333,-55
-128,51.3333333333333,-55
-127.933333333333,51.3333333333333,-52
-127.866666666667,51.3333333333333,-22
-127.8,51.3333333333333,-2
-127.733333333333,51.3333333333333,-6
-127.666666666667,51.3333333333333,-6
-127.6,51.3333333333333,-3
-127.533333333333,51.3333333333333,7
-127.466666666667,51.3333333333333,186
-127.4,51.3333333333333,342
-127.333333333333,51.3333333333333,525
-127.266666666667,51.3333333333333,330
-127.2,51.3333333333333,117
-127.133333333333,51.3333333333333,701
-127.066666666667,51.3333333333333,168
-127,51.3333333333333,1020
-126.933333333333,51.3333333333333,1265
-126.866666666667,51.3333333333333,1542
-126.8,51.3333333333333,1210
-126.733333333333,51.3333333333333,831
-126.666666666667,51.3333333333333,1426
-126.6,51.3333333333333,536
-126.533333333333,51.3333333333333,1375
-126.466666666667,51.3333333333333,515
-126.4,51.3333333333333,1789
-126.333333333333,51.3333333333333,1416
-126.266666666667,51.3333333333333,781
-126.2,51.3333333333333,602
-126.133333333333,51.3333333333333,1772
-126.066666666667,51.3333333333333,1493
-126,51.3333333333333,1924
-125.933333333333,51.3333333333333,1505
-125.866666666667,51.3333333333333,1096
-125.8,51.3333333333333,174
-125.733333333333,51.3333333333333,1245
-125.666666666667,51.3333333333333,497
-125.6,51.3333333333333,1258
-125.533333333333,51.3333333333333,1981
-125.466666666667,51.3333333333333,1907
-125.4,51.3333333333333,2036
-125.333333333333,51.3333333333333,1816
-125.266666666667,51.3333333333333,2475
-125.2,51.3333333333333,2785
-125.133333333333,51.3333333333333,2358
-125.066666666667,51.3333333333333,1514
-125,51.3333333333333,956
-124.933333333333,51.3333333333333,672
-124.866666666667,51.3333333333333,503
-124.8,51.3333333333333,808
-124.733333333333,51.3333333333333,2308
-124.666666666667,51.3333333333333,2426
-124.6,51.3333333333333,2007
-124.533333333333,51.3333333333333,1827
-124.466666666667,51.3333333333333,1146
-124.4,51.3333333333333,2440
-124.333333333333,51.3333333333333,2299
-124.266666666667,51.3333333333333,2020
-124.2,51.3333333333333,2143
-124.133333333333,51.3333333333333,1197
-124.066666666667,51.3333333333333,1223
-124,51.3333333333333,1754
-123.933333333333,51.3333333333333,2091
-123.866666666667,51.3333333333333,1685
-123.8,51.3333333333333,1913
-123.733333333333,51.3333333333333,1583
-123.666666666667,51.3333333333333,1521
-123.6,51.3333333333333,1614
-123.533333333333,51.3333333333333,1743
-123.466666666667,51.3333333333333,1723
-123.4,51.3333333333333,2041
-123.333333333333,51.3333333333333,1878
-123.266666666667,51.3333333333333,1821
-123.2,51.3333333333333,1852
-123.133333333333,51.3333333333333,1882
-123.066666666667,51.3333333333333,1790
-123,51.3333333333333,1889
-122.933333333333,51.3333333333333,1876
-122.866666666667,51.3333333333333,1644
-122.8,51.3333333333333,1747
-122.733333333333,51.3333333333333,1526
-122.666666666667,51.3333333333333,1380
-122.6,51.3333333333333,1675
-122.533333333333,51.3333333333333,1843
-122.466666666667,51.3333333333333,1555
-122.4,51.3333333333333,1452
-122.333333333333,51.3333333333333,1068
-122.266666666667,51.3333333333333,557
-122.2,51.3333333333333,970
-122.133333333333,51.3333333333333,1360
-122.066666666667,51.3333333333333,1312
-122,51.3333333333333,1043
-121.933333333333,51.3333333333333,1649
-121.866666666667,51.3333333333333,1119
-121.8,51.3333333333333,1110
-121.733333333333,51.3333333333333,1120
-121.666666666667,51.3333333333333,1110
-121.6,51.3333333333333,1103
-121.533333333333,51.3333333333333,1104
-129.466666666667,51.2666666666667,-291
-129.4,51.2666666666667,-291
-129.333333333333,51.2666666666667,-291
-129.266666666667,51.2666666666667,-284
-129.2,51.2666666666667,-266
-129.133333333333,51.2666666666667,-237
-129.066666666667,51.2666666666667,-206
-129,51.2666666666667,-188
-128.933333333333,51.2666666666667,-181
-128.866666666667,51.2666666666667,-172
-128.8,51.2666666666667,-182
-128.733333333333,51.2666666666667,-185
-128.666666666667,51.2666666666667,-191
-128.6,51.2666666666667,-197
-128.533333333333,51.2666666666667,-191
-128.466666666667,51.2666666666667,-172
-128.4,51.2666666666667,-131
-128.333333333333,51.2666666666667,-95
-128.266666666667,51.2666666666667,-58
-128.2,51.2666666666667,-48
-128.133333333333,51.2666666666667,-44
-128.066666666667,51.2666666666667,-40
-128,51.2666666666667,-81
-127.933333333333,51.2666666666667,-104
-127.866666666667,51.2666666666667,-40
-127.8,51.2666666666667,-3
-127.733333333333,51.2666666666667,62
-127.666666666667,51.2666666666667,105
-127.6,51.2666666666667,152
-127.533333333333,51.2666666666667,321
-127.466666666667,51.2666666666667,261
-127.4,51.2666666666667,359
-127.333333333333,51.2666666666667,602
-127.266666666667,51.2666666666667,247
-127.2,51.2666666666667,264
-127.133333333333,51.2666666666667,404
-127.066666666667,51.2666666666667,105
-127,51.2666666666667,349
-126.933333333333,51.2666666666667,1152
-126.866666666667,51.2666666666667,706
-126.8,51.2666666666667,1077
-126.733333333333,51.2666666666667,1397
-126.666666666667,51.2666666666667,587
-126.6,51.2666666666667,973
-126.533333333333,51.2666666666667,312
-126.466666666667,51.2666666666667,1106
-126.4,51.2666666666667,1112
-126.333333333333,51.2666666666667,1242
-126.266666666667,51.2666666666667,971
-126.2,51.2666666666667,1234
